＜店舗情報記録部分＞,,青色のセルに記入,,,,　記入にあたってのお願い
店舗名,Café　ぴえろっと,,,,,"写真ファイル名について
メニューの写真ファイル名は、該当する「番号」に一致するようにしてください。  
例:メニュー番号が「1」の場合 → 写真ファイル名は「1.jpg」
写真ファイルは記載のリンク先に保存してください
"
住所,兵庫県東灘区森南町１－１８－１１,,,,,
責任者名,糟谷　香,,,,,"メニューの説明について
説明文には、以下の内容を具体的に記載してください：  
- 材料（例: 「国産鶏肉」「有機トマト」など）  
- 調理法（必要であれば、例: 「低温でじっくり焼き上げました」）  
- 推奨する食べ方（必要であれば、例: 「熱々の状態で召し上がりください」） 

**避けていただきたい表現:**  
- 「思いを込めて焼きました！」や「どうぞご賞味あれ！」のような感情的な文は控え、
具体性のある説明をお願いします。"
連絡先,080-5342-5913,,,,,
営業担当者,糟谷　香,,,,,
,,,,,,
,,,,,,
＜メニュー情報記録部分＞,,"写真ファイルはこちらに格納してください
https://drive.google.com/drive/folders/17V0eNdWMtOc6ciQZZD1u5m0iTlX9gmW-?usp=sharing",,,,"メニューの説明　記入例
例1. カニといくらの海鮮釜飯
釜飯は、小さな釜で一人分ずつ炊き上げる日本の伝統料理です。香り豊かなだしで炊いたご飯に、新鮮なカニといくらをたっぷりと乗せています。全体をよくかき混ぜてからお召し上がりください。"
,,,,,,
番号,メニュー名,説明,写真ファイル名,お値段,,
1,Caféぴえろっと,人と人とのご縁を目的にお店を開業致しました。イベントや本といったところからメニューもご縁繋ぎになっております。1社、1店舗、1サイトのイチオシのメニュー1品だけを仕入れてメニューを組み立てております。イベントはセミナー、マルシェ、音楽のお披露目、交流会、サークルなど行いご縁を繋いております。本はおじいちゃん、おばあちゃんがお孫さんに、お母さん、お父さんが子どもたちにどんな本をプレゼントしたらよいかなどのお悩み相談から自己啓発本や季節の本など毎月入れ替えております。できるかぎり著者とお会いしてお話を伺いその方の本をお店に置かせて頂き思いを伝えるご縁を繋がせて頂いております。物販でも手作りの物を販売しております。作り手さんとお客様のご縁繋ぎになれば幸いです。,,,,"例2. なすの揚げ浸し
柔らかく揚げたナスを、だしの風味豊かな特製醤油だれに漬け込んだ料理です。甘辛い味付けが特徴で、出来立てでも、冷めても美味しくいただけます。刻みねぎとおろし生姜を添えています。"
2,モーニングサービス～半斤トースト＆あんこ,朝10時から12時まで　　すべてのドリンクに厚切りのトースト(半斤）とあんこをお付けできます。,,ドリンク料金＋０円,,
3,モーニングサービス～半斤トースト＆いちごジャム,朝10時から12時まで　　すべてのドリンクに厚切りのトースト(半斤）といちごジャムをお付けできます。,,ドリンク料金＋０円,,"例3. 鯖の文化干し
新鮮な鯖を塩漬けにして余分な水分を抜き、風干しで身の味を凝縮させています。それを香ばしく焼き上げ、適度な塩味とふっくらした食感を楽しめる一品です。ご飯との相性が抜群です。"
4,モーニングサービス～半斤トースト＆ホイップ,朝10時から12時まで　　すべてのドリンクに厚切りのトースト(半斤）とホイップをお付けできます。,,ドリンク料金＋０円,,
5,【モーニング限定】　　目玉焼きモーニング,朝10時から12時まで　　季節のサラダ・トースト1枚・目玉焼きのセット。トーストは手で掴んで食べて頂けます。サラダと目玉焼きは備え付けのフォークでお食べください。目玉焼きはフォークで小さく切って食べて頂くと食べやすいです。,,￥５２０　￥５７２税込み,,"店舗の説明について
メニューのトップに掲載する、お店の魅力や特徴、こだわりやなど簡潔にご記載下さい  

例1 「やまと庵」
日本の伝統的なそば料理を提供する創業100年以上の老舗です。ざるそば（冷たいそば）や温かいそばが選べ、そば粉は地元で収穫されたものを使用しています。職人が丁寧に手打ちした蕎麦は、そば本来の香りと風味が際立っています。特製のつゆはだしから作られ、蕎麦との相性を考えて仕上げています。"
6,【モーニング限定】　　ベーコンエッグモーニング,朝10時から12時まで　　季節のサラダ・トースト1枚・ベーコンエッグのセット。トーストは手で掴んで食べて頂けます。サラダと目玉焼きは備え付けのフォークでお食べください。ベーコンエッグはフォークで小さく切って食べて頂くと食べやすいです。,,￥６４０　￥７０４税込み,,
7,コーヒー（H）,暖かい珈琲です。お好みで砂糖とフレッシュを入れてお飲みください。そのままブラックでも美味しくお飲み頂けます。　　また、10時から15時までお食事頂いた方、おかわりドリンクの方は値段がお得価格になります。,,￥５２０　￥５７２税込み　　お得価格￥２６０　￥２８６税込み,,
